Title,Singer,Views,Upload Date,Likes,Song_time,Links
Billie Eilish - wish you were gay (Audio),Billie Eilish,"115,833,067 views",04-Mar-19,1.9M,3:42,https://www.youtube.com/watch?v=yaJx0Gj_LCY
A Snippet into Billie’s Mind - bury a friend,Billie Eilish,"5,710,470 views",23-Feb-19,407K,3:31,https://www.youtube.com/watch?v=kvo_R9eKpVc
Billie Eilish - bury a friend,Billie Eilish,"447,995,210 views",30-Jan-19,8.1M,3:33,https://www.youtube.com/watch?v=HUHC9tYz8ik
hahahahaha,Billie Eilish,"17,719,153 views",29-Jan-19,1.5M,0:17,https://www.youtube.com/watch?v=b_em8lNLJXc
Billie Eilish - WHEN I WAS OLDER (Music Inspired By The Film ROMA/Audio),Billie Eilish,"20,502,109 views",09-Jan-19,496K,4:32,https://www.youtube.com/watch?v=0I4fD49Gbck
Billie Eilish - come out and play (Audio),Billie Eilish,"32,916,225 views",21-Nov-18,674K,3:32,https://www.youtube.com/watch?v=xXFdnHiGwos
Billie Eilish - bellyache (Vevo LIFT Live Sessions),Billie Eilish,"11,386,727 views",15-Nov-18,286K,3:16,https://www.youtube.com/watch?v=srg3BHdIzZI
Billie Eilish - when the party's over (Vevo LIFT Live Sessions),Billie Eilish,"8,359,209 views",15-Nov-18,297K,3:22,https://www.youtube.com/watch?v=CPmAjkREqSw
Billie Eilish - you should see me in a crown - Live Performance (Vevo LIFT),Billie Eilish,"3,863,340 views",15-Nov-18,115K,3:08,https://www.youtube.com/watch?v=LIdBaYubK8I
Billie Eilish - COPYCAT (Summer Festival Recap),Billie Eilish,"2,691,266 views",12-Nov-18,150K,1:44,https://www.youtube.com/watch?v=SxoRryWApic
Billie Eilish - when the party's over (From Korea),Billie Eilish,"3,505,020 views",06-Nov-18,296K,3:40,https://www.youtube.com/watch?v=thaqhuAs0Jw
Billie Eilish - when the party's over,Billie Eilish,"821,214,218 views",25-Oct-18,12M,3:14,https://www.youtube.com/watch?v=pbMwTqkKSps
Billie Eilish - when the party's over (Audio),Billie Eilish,"57,202,071 views",17-Oct-18,930K,3:16,https://www.youtube.com/watch?v=b6WNdcZpDhQ
Billie Eilish - you should see me in a crown (Live On Ellen / 2018),Billie Eilish,"8,680,083 views",11-Oct-18,348K,3:52,https://www.youtube.com/watch?v=MHNzwtuBTjE
Billie Eilish - hostage,Billie Eilish,"135,813,930 views",08-Oct-18,2.2M,3:55,https://www.youtube.com/watch?v=skHbZBsS7hM
Billie Eilish - Lollapalooza 2018,Billie Eilish,"928,714 views",21-Aug-18,69K,1:01,https://www.youtube.com/watch?v=BUylm6dq8L0
Billie Eilish - you should see me in a crown (Vertical Video),Billie Eilish,"260,283,695 views",10-Aug-18,4.3M,3:01,https://www.youtube.com/watch?v=Ah0Ys50CqO8
Billie Eilish - The Official Story - Told By Her | Vevo LIFT,Billie Eilish,"4,984,070 views",09-Aug-18,328K,3:25,https://www.youtube.com/watch?v=6KXAzmFAEKg
Billie Eilish - bitches broken hearts (Official Live Performance) | Vevo LIFT,Billie Eilish,"27,582,580 views",31-Jul-18,520K,3:06,https://www.youtube.com/watch?v=i0y7zCaDlzg
Billie Eilish - you should see me in a crown (Official Live Performance) | Vevo LIFT,Billie Eilish,"14,134,325 views",24-Jul-18,519K,3:06,https://www.youtube.com/watch?v=1DJuFuKydn0
"""1 BY 1"" TOUR",Billie Eilish,"1,784,833 views",23-Jul-18,107K,0:28,https://www.youtube.com/watch?v=w5THNKAV5tc
Billie Eilish - you should see me in a crown (Audio),Billie Eilish,"29,204,085 views",18-Jul-18,598K,3:02,https://www.youtube.com/watch?v=za8Ki4CCXgg
Billie Eilish – Documentary | Up Next,Billie Eilish,"7,792,546 views",07-May-18,478K,8:43,https://www.youtube.com/watch?v=vuXDX8AQFZ8
"Billie Eilish, Khalid - lovely",Billie Eilish,"1,645,699,528 views",26-Apr-18,23M,3:21,https://www.youtube.com/watch?v=V1Pl8CzNzCw
Billie Eilish - lovely (with Khalid) Audio,Billie Eilish,"19,061,614 views",19-Apr-18,329K,3:21,https://www.youtube.com/watch?v=wjj2upnfBI0
Billie Eilish - bellyache (Live On The Tonight Show Starring Jimmy Fallon / 2018),Billie Eilish,"7,873,710 views",13-Apr-18,275K,3:29,https://www.youtube.com/watch?v=q--EFDQT9pM
Billie Eilish - WHERES MY MIND TOUR | by Gibson Hazard,Billie Eilish,"1,147,269 views",12-Apr-18,103K,1:00,https://www.youtube.com/watch?v=6EZWBhA-Zgo
Billie Eilish - bitches broken hearts (Audio),Billie Eilish,"55,619,135 views",30-Mar-18,834K,2:58,https://www.youtube.com/watch?v=qpQSjf-0Lc8
Billie Eilish - Watch (Acoustic) | Up Next,Billie Eilish,"11,713,155 views",28-Mar-18,276K,3:23,https://www.youtube.com/watch?v=U0jmgLaNL-Y
Billie Eilish - MyBoi (TroyBoi Remix/Audio),Billie Eilish,"3,191,193 views",09-Mar-18,88K,3:33,https://www.youtube.com/watch?v=7AocLuDCQjY
Billie Eilish - COPYCAT (Sofi Tukker Remix/Audio),Billie Eilish,"3,457,092 views",12-Jan-18,105K,3:20,https://www.youtube.com/watch?v=QhWE0wvkPnY
Billie Eilish - idontwannabeyouanymore (Vertical Video),Billie Eilish,"304,871,957 views",04-Jan-18,3.9M,3:25,https://www.youtube.com/watch?v=-tn2S3kJlyU
"Billie Eilish, Vince Staples - &burn (Audio)",Billie Eilish,"15,083,381 views",15-Dec-17,247K,3:01,https://www.youtube.com/watch?v=BbQlBOHwZz8
Billie Eilish - watch,Billie Eilish,"75,959,157 views",18-Sep-17,1.1M,3:20,https://www.youtube.com/watch?v=9dobJDxPEzM
Billie Eilish - COPYCAT (Live From The Hi Hat),Billie Eilish,"2,044,018 views",07-Sep-17,90K,3:19,https://www.youtube.com/watch?v=fD3K8bFvb8U
Billie Eilish - dont smile at me,Billie Eilish,"2,125,333 views",14-Aug-17,178K,0:37,https://www.youtube.com/watch?v=p8J-SX_5gcs
Billie Eilish - hostage (Audio),Billie Eilish,"28,025,092 views",11-Aug-17,307K,3:50,https://www.youtube.com/watch?v=p9sUkJry_XA
